id,name,start_x,end_x,start_y,end_y,monster_amount,drop_rate,unique_rate,underwater,makable,teleportable,escapable,resurrection,painwand,penalty,take_pets,recall_pets,usable_item,usable_skill
0,Talking Island,32256,32767,32768,33279,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,Talking Island Dungeon 1F,32576,32831,32704,32959,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2,Talking Island Dungeon 2F,32576,32895,32704,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
3,Gunter\'s House,32576,32831,32704,32959,1,1,1,0,0,1,1,1,1,1,1,1,1,1
4,Orcish Forest,32448,34303,32064,33599,1,1,1,0,1,1,1,1,1,1,1,1,1,1
5,Talking Island Ship to Aden Mainland,32704,32767,32768,32831,1,1,1,0,0,0,1,1,0,1,1,1,1,1
6,Aden Mainland Ship to Talking Island,32704,32831,32768,32831,1,1,1,0,0,0,1,1,0,1,1,1,1,1
7,Mainland Dungeon 1F,32640,32895,32640,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
8,Mainland Dungeon 2F,32640,32895,32640,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
9,Mainland Dungeon 3F,32640,32895,32640,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
10,Mainland Dungeon 4F,32640,32831,32640,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
11,Mainland Dungeon 5F,32640,32895,32640,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
12,Mainland Dungeon 6F,32640,32895,32640,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
13,Mainland Dungeon 7F,32640,32895,32640,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
14,Underground Passage,32512,33023,32704,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
15,Kent Inner Castle,32704,32767,32768,32831,1,1,1,0,0,1,1,1,1,1,1,1,1,1
16,Hardin\'s Lab,32704,32831,32704,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
17,Nerupa\'s Cave,32704,32767,32768,32831,1,1,1,0,0,1,1,1,1,1,1,1,1,1
18,Dupelgenon Dungeon,32704,32767,32768,32831,1,1,1,0,0,1,1,1,1,1,1,1,1,1
19,Elven Dungeon 1F,32704,32895,32640,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
20,Elven Dungeon 2F,32704,32831,32704,32831,1,1,1,0,0,1,1,1,1,1,1,1,1,1
21,Elven Dungeon 3F,32640,32831,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
22,Gerard Test Dungeon,32640,32895,32640,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
23,Windawood Castle Dungeon 1F,32640,32895,32640,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
24,Windawood Castle Dungeon 2F,32640,32895,32640,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
25,Silver Knight Town Caves 1F,32704,32895,32704,32831,1,1,1,0,0,1,1,1,1,1,1,1,1,1
26,Silver Knight Town Caves 2F,32704,32895,32640,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
27,Silver Knight Town Caves 3F,32640,32895,32704,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
28,Silver Knight Town Caves 4F,32640,32895,32704,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
29,Windawood Inner Castle,32704,32767,32768,32831,1,1,1,0,0,1,1,1,1,1,1,1,1,1
30,Dragon Valley Caves 1F,32640,32895,32640,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
31,Dragon Valley Caves 2F,32640,32895,32640,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
32,Dragon Valley Caves 3F,32576,32831,32704,32959,1,1,1,0,0,1,1,1,1,1,1,1,1,1
33,Dragon Valley Caves 4F,32576,32831,32704,32959,1,1,1,0,0,1,1,1,1,1,1,1,1,1
34,Hall of Honor,32640,32831,32704,32895,1,1,1,0,0,1,0,1,1,1,1,1,1,1
35,Dragon Valley Caves 5F,32576,32831,32704,32959,1,1,1,0,0,1,1,1,1,1,1,1,1,1
36,Dragon Valley Caves 6F,32576,32831,32704,32959,1,1,1,0,0,1,1,1,1,1,1,1,1,1
37,Dragon Valley Caves 7F Lair of Antharas,32576,32831,32704,32959,1,1,1,0,0,0,0,1,1,1,1,1,1,1
38,Hall of Honor,32640,32831,32704,32895,1,1,1,0,0,0,0,1,0,1,1,1,1,1
39,Hall of Honor,32640,32831,32704,32895,1,1,1,0,0,0,0,1,0,1,1,1,1,1
40,Hall of Honor,32640,32831,32704,32895,1,1,1,0,0,0,0,1,0,1,1,1,1,1
41,Hall of Honor,32640,32831,32704,32895,1,1,1,0,0,0,0,1,0,1,1,1,1,1
42,\N,32512,32831,32704,33023,1,1,1,0,0,0,0,1,0,1,0,0,1,1
43,Ant Caves,32704,32831,32704,32831,1,1,1,0,0,1,1,1,1,1,1,1,1,1
44,Ant Caves,32704,32831,32704,32831,1,1,1,0,0,1,1,1,1,1,1,1,1,1
45,Ant Caves,32704,32831,32704,32831,1,1,1,0,0,1,1,1,1,1,1,1,1,1
46,Ant Caves,32704,32831,32704,32831,1,1,1,0,0,1,1,1,1,1,1,1,1,1
47,Ant Caves,32704,32831,32704,32831,1,1,1,0,0,1,1,1,1,1,1,1,1,1
48,Ant Caves,32704,32831,32704,32831,1,1,1,0,0,1,1,1,1,1,1,1,1,1
49,Ant Caves,32704,32831,32704,32831,1,1,1,0,0,1,1,1,1,1,1,1,1,1
50,Ant Caves,32704,32831,32704,32831,1,1,1,0,0,1,1,1,1,1,1,1,1,1
51,Ant Caves,32640,32831,32704,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
52,Giran Inner Castle,32640,32767,32768,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
53,Giran Prison 1F,32640,32895,32640,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
54,Giran Prison 2F,32640,32895,32640,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
55,Giran Prison 3F,32640,32831,32704,32959,1,1,1,0,0,1,1,1,1,1,1,1,1,1
56,Giran Prison 4F,32640,32895,32640,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
57,Ice Country1,32576,33023,32512,32959,1,1,1,0,0,1,1,1,0,1,0,0,1,1
58,Fire Country1,32512,32831,32704,33023,1,1,1,0,0,1,1,1,0,1,0,0,1,1
59,Heine Dungeon 1F,32640,32831,32768,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
60,Heine Dungeon 2F,32640,32767,32768,32959,1,1,1,0,0,1,1,1,1,1,1,1,1,1
61,Heine Dungeon 3F,32640,32767,32768,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
62,Sanctuary of Eva,32640,32767,32768,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
63,Kingdom of Eva,32576,32895,32640,32959,1,1,1,1,0,1,1,1,1,1,0,0,1,1
64,Heine Inner Castle,32512,32639,32768,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
65,Lair of Fafurion,32704,32831,32768,32895,1,1,1,1,0,0,0,1,1,1,0,0,1,1
66,Iron Gate Guild Inner Castle,32704,32895,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
67,Lair of Valakas,32640,32831,32704,32895,1,1,1,0,0,0,0,1,1,1,1,1,1,1
68,Singing Island,32576,33023,32512,32959,1,1,1,0,0,1,1,1,1,1,1,1,1,1
69,Hidden Valley,32512,32831,32704,33023,1,1,1,0,0,1,1,1,1,1,1,1,1,1
70,Forgotten Island,32576,33023,32640,33087,1,1,1,0,0,0,0,1,1,1,1,1,1,1
72,Crystal Cavern 1F,32704,32895,32768,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
73,Crystal Cavern 2F,32704,32959,32704,32959,1,1,1,0,0,1,1,1,1,1,1,1,1,1
74,Crystal Cavern 3F,32704,32895,32768,32959,1,1,1,0,0,1,1,1,1,1,1,1,1,1
75,Ivory Tower 1F,32704,32831,32768,32959,1,1,1,0,0,1,1,1,1,1,1,1,1,1
76,Ivory Tower 2F,32704,32831,32768,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
77,Ivory Tower 3F,32704,32831,32768,32895,1,1,1,0,0,1,1,1,1,1,1,1,1,1
78,Ivory Tower 4F Inanimate object Laboratory,32832,32959,32704,32831,1,1,1,0,0,0,1,1,1,1,1,1,1,1
79,Ivory Tower 5F Black magic Laboratory,32704,32831,32768,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
80,Ivory Tower 6F Monster Seal room,32704,32831,32768,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
81,Ivory Tower 7F Monster Seal room,32704,32831,32768,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
